,County|Prec,Type,Context
2124,PENDER|NB01,PERFECT_MATCH,PENDER|NB01
2125,PENDER|GR06,PERFECT_MATCH,PENDER|GR06
2126,PENDER|CF11,PERFECT_MATCH,PENDER|CF11
2127,PENDER|PL10,PERFECT_MATCH,PENDER|PL10
2128,PENDER|UH08,PERFECT_MATCH,PENDER|UH08
2129,PENDER|SP15,PERFECT_MATCH,PENDER|SP15
2130,PENDER|SC13,PERFECT_MATCH,PENDER|SC13
2131,PENDER|MH07,PERFECT_MATCH,PENDER|MH07
2132,PITT|0501,PERFECT_MATCH,PITT|0501
2133,PITT|1102B,PERFECT_MATCH,PITT|1102B
2134,PITT|1507,PERFECT_MATCH,PITT|1507
2135,PITT|0800A,PERFECT_MATCH,PITT|0800A
2136,PITT|1501,PERFECT_MATCH,PITT|1501
2137,PITT|1505B,PERFECT_MATCH,PITT|1505B
2138,PITT|1506,PERFECT_MATCH,PITT|1506
2139,PITT|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
2140,PITT|0200B,PERFECT_MATCH,PITT|0200B
2141,PITT|1507B,PERFECT_MATCH,PITT|1507B
2142,PITT|1511B,PERFECT_MATCH,PITT|1511B
2143,PITT|1510A,PERFECT_MATCH,PITT|1510A
2144,PITT|0101,PERFECT_MATCH,PITT|0101
2145,PITT|1403B,PERFECT_MATCH,PITT|1403B
2146,PITT|1505A,PERFECT_MATCH,PITT|1505A
2147,PITT|1511A,PERFECT_MATCH,PITT|1511A
2148,PITT|OS.AG.CENTER,COUNTY_LEVEL,OS.AG.CENTER
2149,PITT|OS.WINERVILLE.FIRE,COUNTY_LEVEL,OS.WINERVILLE.FIRE
2150,PITT|TRANSFER,COUNTY_LEVEL,TRANSFER
2151,PITT|1403A1,PERFECT_MATCH,PITT|1403A1
2152,PITT|0701,PERFECT_MATCH,PITT|0701
2153,PITT|1508A,PERFECT_MATCH,PITT|1508A
2154,PITT|1513B,PERFECT_MATCH,PITT|1513B
2155,PITT|1513A,PERFECT_MATCH,PITT|1513A
2156,PITT|0401,PERFECT_MATCH,PITT|0401
2157,PITT|1510B,PERFECT_MATCH,PITT|1510B
2158,PITT|OS.AYDEN,COUNTY_LEVEL,OS.AYDEN
2159,PITT|OS.COUNTY.BLDG,COUNTY_LEVEL,OS.COUNTY.BLDG
2160,PITT|1403A2,PERFECT_MATCH,PITT|1403A2
2161,PITT|ABSENTEE,COUNTY_LEVEL,ABSENTEE
2162,PITT|1101,PERFECT_MATCH,PITT|1101
2163,PITT|0200A,PERFECT_MATCH,PITT|0200A
2164,PITT|0901,PERFECT_MATCH,PITT|0901
2165,PITT|1201,PERFECT_MATCH,PITT|1201
2166,PITT|0800B,PERFECT_MATCH,PITT|0800B
2167,PITT|0301,PERFECT_MATCH,PITT|0301
2168,PITT|1102A,PERFECT_MATCH,PITT|1102A
2169,PITT|1508B,PERFECT_MATCH,PITT|1508B
2170,PITT|1512A,PERFECT_MATCH,PITT|1512A
2171,PITT|1509,PERFECT_MATCH,PITT|1509
2172,PITT|1512B,PERFECT_MATCH,PITT|1512B
2173,PITT|1504B,PERFECT_MATCH,PITT|1504B
2174,PITT|1503,PERFECT_MATCH,PITT|1503
2175,PITT|1504A,PERFECT_MATCH,PITT|1504A
2176,PITT|OS.FARMVILLE,COUNTY_LEVEL,OS.FARMVILLE
2177,PITT|OS.WILLIS.BLDG,COUNTY_LEVEL,OS.WILLIS.BLDG
2178,PITT|1001,PERFECT_MATCH,PITT|1001
2179,PITT|1301,PERFECT_MATCH,PITT|1301
2180,PITT|0601,PERFECT_MATCH,PITT|0601
2181,PITT|OS.COMMUNITY.SCH,COUNTY_LEVEL,OS.COMMUNITY.SCH
2182,RICHMOND|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
2183,RICHMOND|15,PERFECT_MATCH,RICHMOND|15
2184,RICHMOND|12,PERFECT_MATCH,RICHMOND|12
2185,RICHMOND|09,PERFECT_MATCH,RICHMOND|09
2186,RICHMOND|06,PERFECT_MATCH,RICHMOND|06
2187,RICHMOND|03,PERFECT_MATCH,RICHMOND|03
2188,RICHMOND|OS.COLE.PAPER,COUNTY_LEVEL,OS.COLE.PAPER
2189,RICHMOND|07,PERFECT_MATCH,RICHMOND|07
2190,RICHMOND|04,PERFECT_MATCH,RICHMOND|04
2191,RICHMOND|ABSENTEE,COUNTY_LEVEL,ABSENTEE
2192,RICHMOND|01,PERFECT_MATCH,RICHMOND|01
2193,RICHMOND|OS.ELLERBE.PAPER,COUNTY_LEVEL,OS.ELLERBE.PAPER
2194,RICHMOND|14,PERFECT_MATCH,RICHMOND|14
2195,RICHMOND|16,PERFECT_MATCH,RICHMOND|16
2196,RICHMOND|02,PERFECT_MATCH,RICHMOND|02
2197,RICHMOND|05,PERFECT_MATCH,RICHMOND|05
2198,RICHMOND|08,PERFECT_MATCH,RICHMOND|08
2199,RICHMOND|11,PERFECT_MATCH,RICHMOND|11
2200,RICHMOND|OS.COOP.PAPER,COUNTY_LEVEL,OS.COOP.PAPER
2201,RICHMOND|13,PERFECT_MATCH,RICHMOND|13
2202,RICHMOND|10,PERFECT_MATCH,RICHMOND|10
2203,ROBESON|OS.LOB..1,COUNTY_LEVEL,OS.LOB..1
2204,ROBESON|15,PERFECT_MATCH,ROBESON|15
2205,ROBESON|12,PERFECT_MATCH,ROBESON|12
2206,ROBESON|17,PERFECT_MATCH,ROBESON|17
2207,ROBESON|OS.MX..2,COUNTY_LEVEL,OS.MX..2
2208,ROBESON|32A,PERFECT_MATCH,ROBESON|32A
2209,ROBESON|ABSENTEE..1,COUNTY_LEVEL,ABSENTEE..1
2210,ROBESON|OS.PEM..1,COUNTY_LEVEL,OS.PEM..1
2211,ROBESON|30,PERFECT_MATCH,ROBESON|30
2212,ROBESON|33,PERFECT_MATCH,ROBESON|33
2213,ROBESON|24,PERFECT_MATCH,ROBESON|24
2214,ROBESON|23,PERFECT_MATCH,ROBESON|23
2215,ROBESON|18A,PERFECT_MATCH,ROBESON|18A
2216,ROBESON|40,PERFECT_MATCH,ROBESON|40
2217,ROBESON|03,PERFECT_MATCH,ROBESON|03
2218,ROBESON|09,PERFECT_MATCH,ROBESON|09
2219,ROBESON|10,PERFECT_MATCH,ROBESON|10
2220,ROBESON|37,PERFECT_MATCH,ROBESON|37
2221,ROBESON|OS.FAIR..2,COUNTY_LEVEL,OS.FAIR..2
2222,ROBESON|OS.PEM..2,COUNTY_LEVEL,OS.PEM..2
2223,ROBESON|13,PERFECT_MATCH,ROBESON|13
2224,ROBESON|05A,PERFECT_MATCH,ROBESON|05A
2225,ROBESON|11,PERFECT_MATCH,ROBESON|11
2226,ROBESON|22,PERFECT_MATCH,ROBESON|22
2227,ROBESON|29,PERFECT_MATCH,ROBESON|29
2228,ROBESON|39,PERFECT_MATCH,ROBESON|39
2229,ROBESON|38,PERFECT_MATCH,ROBESON|38
2230,ROBESON|08,PERFECT_MATCH,ROBESON|08
2231,ROBESON|OS.FAIR..1,COUNTY_LEVEL,OS.FAIR..1
2232,ROBESON|21,PERFECT_MATCH,ROBESON|21
2233,ROBESON|OS.MX..1,COUNTY_LEVEL,OS.MX..1
2234,ROBESON|02,PERFECT_MATCH,ROBESON|02
2235,ROBESON|26A,PERFECT_MATCH,ROBESON|26A
2236,ROBESON|35,PERFECT_MATCH,ROBESON|35
2237,ROBESON|34,PERFECT_MATCH,ROBESON|34
2238,ROBESON|19,PERFECT_MATCH,ROBESON|19
2239,ROBESON|14,PERFECT_MATCH,ROBESON|14
2240,ROBESON|20,PERFECT_MATCH,ROBESON|20
2241,ROBESON|16,PERFECT_MATCH,ROBESON|16
2242,ROBESON|25,PERFECT_MATCH,ROBESON|25
2243,ROBESON|28,PERFECT_MATCH,ROBESON|28
2244,ROBESON|11A,PERFECT_MATCH,ROBESON|11A
2245,ROBESON|07,PERFECT_MATCH,ROBESON|07
2246,ROBESON|04,PERFECT_MATCH,ROBESON|04
2247,ROBESON|41,PERFECT_MATCH,ROBESON|41
2248,ROBESON|36,PERFECT_MATCH,ROBESON|36
2249,ROBESON|PROVISIONAL..1,COUNTY_LEVEL,PROVISIONAL..1
2250,ROBESON|01,PERFECT_MATCH,ROBESON|01
2251,ROBESON|PROVISIONAL..2,COUNTY_LEVEL,PROVISIONAL..2
2252,ROBESON|ABSENTEE..2,COUNTY_LEVEL,ABSENTEE..2
2253,ROBESON|OS.LOB..2,COUNTY_LEVEL,OS.LOB..2
2254,ROWAN|32,PERFECT_MATCH,ROWAN|32
2255,ROWAN|22,PERFECT_MATCH,ROWAN|22
2256,ROWAN|08,PERFECT_MATCH,ROWAN|08
2257,ROWAN|02,PERFECT_MATCH,ROWAN|02
